country,year,life_expectancy,average_iq,gdp,region,calori_avg
Palestine,2019,75.2,77.69,3657.0,Middle Eastern,4012.9
Yemen,2019,65.0,62.86,694.0,Middle Eastern,4012.9
Gambia,2019,63.7,52.68,723.0,Rest Africa,3806.83
Ivory Coast,2019,59.3,61.0,2291.0,Rest Africa,3806.83
Eritrea,2019,67.3,68.77,567.0,Rest Africa,3806.83
South Sudan,2019,55.9,58.61,302.0,Rest Africa,3806.83
Tanzania,2019,67.0,74.95,1051.0,Rest Africa,3806.83
Democratic Republic of the Congo,2019,60.3,64.92,577.0,Rest Africa,3806.83
Congo Republic,2019,62.7,62.97,2509.0,Rest Africa,3806.83
Vietnam,2019,79.0,89.53,3491.0,Southeast Asian,3585.44
Laos,2019,68.1,80.99,2599.0,Southeast Asian,3585.44
Cambodia,2019,70.7,99.75,1671.0,Southeast Asian,3585.44
Korea,2019,83.3,102.35,31600,Korean,4384.7
